donation_id,supporter_id,donation_date,donation_amount,payment_channel,campaign_id
90000000,108007,2022-06-18,20,Online,30026
90000222,108007,2022-03-01,37,Online,30024
90001012,108007,2022-07-07,21,Event,30039
90001743,108007,2023-05-10,20,Online,30012
90004927,108007,2025-12-26,32,Online,30011
90005327,108007,2025-11-29,26,Online,30044
90007423,108007,2022-11-06,21,Online,30045
90018647,108007,2023-11-22,21,Online,30001
90023185,108007,2022-02-26,20,Online,30024
90000001,109605,2022-07-24,128,Event,30018
90000212,109605,2022-07-06,192,Bank Transfer,30039
90001600,109605,2023-05-01,641,Online,30030
90002009,109605,2023-09-11,256,Online,30029
90002841,109605,2023-10-08,256,Bank Transfer,30041
90019581,109605,2024-03-04,448,Online,30038
90028504,109605,2022-06-18,512,Online,30039
90000002,106608,2022-06-13,941,Bank Transfer,30026
90000071,106608,2022-01-22,59,Online,30031
90001531,106608,2023-10-06,412,Online,30041
90002913,106608,2023-06-08,353,Event,30009
90003522,106608,2024-08-22,353,Online,30034
90000003,115010,2022-03-17,46,Online,30028
90000642,115010,2022-07-28,55,Online,30037
90003451,115010,2024-03-07,73,Bank Transfer,30016
90010734,115010,2024-12-19,37,Online,30048
90011873,115010,2022-05-23,83,Online,30018
90024581,115010,2022-02-20,37,Online,30024
90029502,115010,2025-12-27,20,Online,30047
90000004,100227,2022-06-21,29,Online,30026
90001292,100227,2022-03-24,20,Online,30028
90005372,100227,2025-11-28,20,Online,30044
90006019,100227,2025-09-18,23,Online,30003
90007401,100227,2024-04-10,23,Bank Transfer,30036
90008264,100227,2024-12-02,63,Bank Transfer,30048
90014523,100227,2025-08-31,23,Online,30003
90014593,100227,2023-09-20,20,Online,30041
90000005,101425,2022-03-15,173,Online,30028
90000346,101425,2022-01-24,207,Online,30031
90000397,101425,2022-12-28,173,Online,30040
90000411,101425,2022-10-13,69,Event,30022
90003094,101425,2024-11-22,380,Online,30027
90005379,101425,2025-08-23,35,Online,30042
90007400,101425,2023-08-24,173,Online,30029
90010367,101425,2022-07-03,69,Online,30018
90000006,112360,2022-11-13,355,Online,30045
90000894,112360,2022-06-11,276,Bank Transfer,30026
90000976,112360,2022-03-20,236,Online,30024
90001031,112360,2022-07-10,158,Online,30006
90001855,112360,2023-03-12,433,Online,30030
90002471,112360,2023-09-11,158,Event,30004
90000007,113272,2022-06-14,637,Bank Transfer,30039
90000275,113272,2022-05-24,136,Online,30006
90000478,113272,2022-10-24,227,Event,30045
90000810,113272,2022-07-15,364,Event,30020
90000997,113272,2022-06-25,318,Online,30026
90001133,113272,2022-08-10,227,Online,30037
90000008,117563,2022-06-23,54,Online,30026
90008417,117563,2022-10-07,196,Online,30022
90009435,117563,2024-08-14,125,Online,30034
90014246,117563,2022-03-25,107,Online,30028
90000009,117502,2022-05-29,727,Bank Transfer,30020
90001712,117502,2023-04-27,52,Bank Transfer,30030
90001873,117502,2023-07-21,415,Bank Transfer,30015
90005119,117502,2025-12-14,52,Online,30047
90009856,117502,2024-06-29,623,Online,30000
90000010,107017,2022-01-08,226,Online,30031
90002532,107017,2023-11-14,97,Online,30049
90003143,107017,2024-02-17,162,Online,30023
90005312,107017,2025-12-24,129,Event,30047
90016027,107017,2024-08-27,162,Bank Transfer,30034
90024864,107017,2022-07-16,485,Online,30018
90000011,105401,2022-05-31,242,Event,30006
90001801,105401,2023-05-05,311,Bank Transfer,30012
90001804,105401,2023-12-18,69,Online,30005
90002028,105401,2023-04-25,104,Online,30030
90003620,105401,2024-05-29,104,Bank Transfer,30025
90027056,105401,2024-04-10,276,Online,30036
90000012,115351,2022-12-19,111,Bank Transfer,30045
90001436,115351,2022-12-09,49,Online,30045
90032505,115351,2024-02-27,161,Online,30038
90000013,114200,2022-09-02,172,Online,30037
90000469,114200,2022-06-15,103,Event,30026
90001429,114200,2022-06-16,276,Bank Transfer,30026
90002676,114200,2023-11-25,310,Online,30005
90003198,114200,2024-12-18,69,Online,30048
90011867,114200,2022-07-07,379,Online,30006
90034846,114200,2025-11-13,138,Online,30013
90000014,116284,2022-06-30,248,Online,30020
90005108,116284,2025-03-15,545,Bank Transfer,30035
90006002,116284,2025-08-16,297,Bank Transfer,30033
90000015,100959,2022-06-27,88,Online,30020
90001947,100959,2023-08-24,219,Online,30029
90002272,100959,2023-05-03,350,Online,30030
90004896,100959,2025-11-25,350,Online,30044
90005308,100959,2025-02-05,131,Bank Transfer,30017
90013839,100959,2025-07-05,88,Bank Transfer,30042
90024587,100959,2022-06-12,88,Online,30026
90027662,100959,2023-11-23,350,Online,30005
90000016,117088,2022-08-05,191,Online,30037
90000392,117088,2022-12-31,891,Online,30045
90002125,117088,2023-04-21,445,Bank Transfer,30021
90003235,117088,2024-04-16,318,Online,30036
90010843,117088,2023-10-05,191,Online,30041
90019120,117088,2024-03-27,445,Online,30036
90000017,104688,2022-10-27,152,Online,30022
90000664,104688,2022-01-15,101,Online,30031
90001501,104688,2023-12-06,355,Online,30005
90002190,104688,2023-08-31,304,Online,30004
90002759,104688,2023-10-12,507,Online,30001
90004156,104688,2024-02-07,355,Online,30023
90006031,104688,2025-11-13,203,Online,30002
90000018,111582,2022-12-30,182,Online,30032
90000427,111582,2022-06-14,182,Bank Transfer,30006
90001049,111582,2022-07-05,273,Online,30039
90003663,111582,2024-02-10,30,Online,30023
90005095,111582,2025-09-30,91,Online,30003
90005654,111582,2025-11-07,91,Online,30002
90020568,111582,2024-11-09,91,Online,30027
90022553,111582,2025-12-19,121,Online,30002
90000019,116818,2022-01-12,196,Online,30031
90001966,116818,2023-08-08,98,Online,30004
90002405,116818,2023-12-24,441,Online,30001
90002729,116818,2023-12-24,147,Online,30001
90002963,116818,2023-12-06,98,Event,30014
90006000,116818,2025-08-10,196,Online,30042
90020359,116818,2023-11-12,687,Online,30014
90000020,118991,2022-12-29,193,Online,30032
90000896,118991,2022-08-21,129,Online,30037
90000957,118991,2022-06-29,161,Online,30020
90003342,118991,2024-06-12,290,Online,30025
90013817,118991,2024-08-02,258,Online,30034
90034907,118991,2024-04-03,193,Online,30038
90000021,109201,2022-01-06,233,Online,30031
90000251,109201,2022-11-07,129,Online,30045
90002387,109201,2023-12-05,103,Online,30014
90002815,109201,2023-12-16,129,Bank Transfer,30001
90003433,109201,2024-06-03,103,Online,30000
90004740,109201,2024-07-03,207,Bank Transfer,30010
90006028,109201,2025-03-13,78,Bank Transfer,30007
90000022,102436,2022-10-13,34,Online,30022
90000319,102436,2022-02-20,20,Online,30024
90000914,102436,2022-01-08,20,Online,30031
90000955,102436,2022-10-16,20,Online,30032
90002470,102436,2023-11-24,20,Online,30005
90004533,102436,2024-04-14,20,Online,30046
90005467,102436,2025-03-02,68,Bank Transfer,30043
90013388,102436,2024-08-19,34,Online,30010
90000023,100603,2022-07-30,535,Online,30037
90001033,100603,2022-12-23,297,Online,30040
90034729,100603,2022-07-27,357,Online,30037
90000024,113744,2022-04-01,167,Online,30028
90001956,113744,2023-03-20,133,Online,30030
90005999,113744,2025-07-28,366,Online,30042
90010408,113744,2023-12-16,67,Online,30005
90013278,113744,2025-12-19,167,Online,30011
90032675,113744,2023-08-03,67,Bank Transfer,30004
90033167,113744,2023-09-21,133,Event,30041
90000025,118958,2022-06-18,346,Bank Transfer,30039
90000270,118958,2022-10-04,173,Bank Transfer,30022
90001147,118958,2022-10-27,909,Bank Transfer,30022
90021695,118958,2024-09-01,303,Event,30034
90000026,118308,2022-12-07,102,Online,30032
90000068,118308,2022-10-24,44,Online,30022
90002142,118308,2023-11-18,73,Bank Transfer,30049
90002719,118308,2023-07-30,131,Online,30015
90029568,118308,2025-11-20,44,Online,30044
90034263,118308,2022-10-21,116,Online,30022
90000027,106023,2022-01-08,744,Online,30031
90007227,106023,2025-11-11,266,Online,30044
90000028,109075,2022-06-05,355,Online,30020
90002730,109075,2023-08-11,659,Bank Transfer,30015
90005717,109075,2025-12-21,101,Online,30011
90008714,109075,2025-11-11,152,Bank Transfer,30002
90017343,109075,2023-07-17,203,Online,30015
90019194,109075,2024-12-15,101,Bank Transfer,30048
90000029,104891,2022-01-14,32,Online,30031
90000115,104891,2022-10-28,80,Bank Transfer,30045
90001167,104891,2022-11-04,193,Online,30045
90004908,104891,2025-07-29,48,Bank Transfer,30033
90005323,104891,2025-10-01,64,Event,30003
90021982,104891,2022-12-03,96,Online,30040
90022869,104891,2023-12-27,64,Online,30014
90023035,104891,2024-11-06,96,Bank Transfer,30027
90000030,112031,2022-03-15,458,Online,30028
90000243,112031,2022-10-31,196,Online,30045
90000858,112031,2022-06-19,327,Online,30006
90002884,112031,2023-08-06,458,Online,30015
90003709,112031,2024-06-06,261,Event,30025
90005367,112031,2025-09-09,196,Online,30033
90005930,112031,2025-11-29,261,Online,30044
90028179,112031,2024-02-14,392,Online,30023
90000031,110170,2022-07-15,32,Online,30006
90000046,110170,2022-11-27,160,Online,30040
90000924,110170,2022-06-12,96,Online,30026
90000926,110170,2022-12-23,64,Online,30032
90001116,110170,2022-07-09,32,Online,30039
90003696,110170,2024-02-18,160,Event,30023
90004334,110170,2024-10-21,255,Online,30027
90005364,110170,2025-09-03,64,Online,30003
90026980,110170,2022-06-15,351,Online,30026
90000032,107735,2022-07-10,368,Online,30039
90000892,107735,2022-01-14,368,Bank Transfer,30031
90001868,107735,2023-07-22,683,Online,30015
90002473,107735,2023-08-09,578,Bank Transfer,30015
90002966,107735,2023-12-04,158,Bank Transfer,30049
90000033,114357,2022-12-01,50,Event,30040
90002107,114357,2023-12-13,224,Event,30014
90003147,114357,2024-04-07,149,Bank Transfer,30036
90003936,114357,2024-06-21,349,Online,30010
90003947,114357,2024-03-22,149,Online,30046
90000034,113317,2022-06-25,252,Event,30026
90029671,113317,2023-07-28,315,Event,30009
90031789,113317,2025-11-06,1825,Online,30013
90000035,101192,2022-06-23,984,Bank Transfer,30020
90003910,101192,2024-07-09,722,Online,30019
90016045,101192,2024-02-15,853,Online,30023
90000036,104860,2022-05-26,70,Online,30006
90000721,104860,2022-03-22,326,Online,30024
90002023,104860,2023-04-28,326,Online,30021
90002103,104860,2023-04-21,140,Bank Transfer,30012
90000037,108410,2022-12-31,147,Online,30032
90000389,108410,2022-12-28,59,Bank Transfer,30040
90001024,108410,2022-08-14,88,Event,30037
90003150,108410,2024-07-26,59,Online,30019
90004105,108410,2024-03-22,557,Bank Transfer,30046
90004405,108410,2024-05-17,147,Bank Transfer,30000
90023003,108410,2022-03-31,29,Online,30028
90034609,108410,2023-03-13,117,Online,30021
90000038,104777,2022-05-21,426,Bank Transfer,30018
90000544,104777,2022-11-23,266,Online,30045
90003339,104777,2024-04-06,213,Bank Transfer,30036
90004072,104777,2024-09-03,106,Online,30034
90005679,104777,2025-02-13,266,Online,30017
90011819,104777,2023-08-27,373,Online,30004
90019331,104777,2022-12-06,373,Bank Transfer,30040
90000039,111903,2022-03-23,319,Online,30028
90000913,111903,2022-10-12,319,Online,30022
90001381,111903,2022-12-31,745,Online,30032
90005206,111903,2025-02-03,639,Bank Transfer,30035
90000040,110741,2022-03-23,91,Online,30024
90000546,110741,2022-02-18,272,Online,30024
90001003,110741,2022-07-05,36,Bank Transfer,30006
90002735,110741,2023-12-27,109,Bank Transfer,30049
90002992,110741,2023-08-14,109,Online,30015
90006029,110741,2025-11-14,54,Online,30047
90012529,110741,2024-04-19,36,Online,30046
90028934,110741,2023-08-21,36,Bank Transfer,30004
90000041,119924,2022-12-29,212,Online,30045
90000203,119924,2022-10-02,371,Bank Transfer,30022
90000794,119924,2022-03-04,212,Online,30024
90005393,119924,2025-02-19,318,Online,30017
90022743,119924,2023-09-10,318,Online,30029
90000042,106646,2022-12-14,328,Online,30040
90017523,106646,2022-03-22,657,Bank Transfer,30024
90034414,106646,2022-11-22,788,Online,30045
90000043,104008,2022-05-27,255,Event,30020
90000832,104008,2022-07-12,638,Online,30018
90003142,104008,2024-07-02,574,Online,30010
90003741,104008,2024-07-19,64,Bank Transfer,30010
90010176,104008,2023-07-19,383,Bank Transfer,30009
90023861,104008,2022-06-10,447,Bank Transfer,30020
90000044,112553,2022-10-25,356,Online,30045
90000176,112553,2022-11-29,44,Bank Transfer,30045
90000700,112553,2022-10-20,178,Online,30022
90001976,112553,2023-08-19,356,Online,30015
90004081,112553,2024-03-24,44,Online,30016
90004161,112553,2024-03-04,44,Online,30038
90015972,112553,2023-09-25,400,Event,30041
90023065,112553,2025-11-19,89,Online,30002
90028663,112553,2022-03-13,178,Bank Transfer,30028
90000045,105541,2022-12-15,71,Bank Transfer,30040
90006045,105541,2025-01-26,98,Bank Transfer,30035
90006552,105541,2022-06-20,125,Online,30026
90017681,105541,2025-04-20,27,Bank Transfer,30007
90000047,112854,2022-12-04,42,Online,30040
90000983,112854,2022-05-24,296,Online,30020
90001181,112854,2022-06-24,127,Online,30026
90005777,112854,2025-12-03,169,Online,30002
90006990,112854,2023-04-13,296,Event,30021
90019996,112854,2023-05-21,211,Online,30012
90023988,112854,2025-03-06,253,Online,30035
90000048,107031,2022-01-07,511,Online,30031
90001145,107031,2022-07-17,232,Bank Transfer,30018
90001452,107031,2022-03-15,371,Bank Transfer,30024
90002601,107031,2023-12-16,139,Online,30049
